time,open,high,low,close,tick_volume,spread,real_volume
2025-01-13 14:00:00,1.0196,1.0206,1.01878,1.02027,2635,3,0
2025-01-13 15:00:00,1.02027,1.02204,1.01963,1.02083,2801,3,0
2025-01-13 16:00:00,1.02084,1.02127,1.02003,1.0208,3073,4,0
2025-01-13 17:00:00,1.02082,1.02088,1.01957,1.01968,3064,4,0
2025-01-13 18:00:00,1.01968,1.02173,1.01916,1.02082,2514,3,0
2025-01-13 19:00:00,1.0208,1.02193,1.02069,1.02178,2177,4,0
2025-01-13 20:00:00,1.02179,1.02213,1.02122,1.0216,1618,4,0
2025-01-13 21:00:00,1.0216,1.02161,1.02071,1.02071,1474,4,0
2025-01-13 22:00:00,1.02071,1.02174,1.02069,1.02166,1195,1,0
2025-01-13 23:00:00,1.02168,1.02463,1.02162,1.02412,1098,4,0
2025-01-14 00:00:00,1.02424,1.02716,1.0237,1.02584,782,4,0
2025-01-14 01:00:00,1.02578,1.02773,1.0251,1.02638,1595,4,0
2025-01-14 02:00:00,1.02637,1.02638,1.02456,1.02479,1465,1,0
2025-01-14 03:00:00,1.02475,1.02498,1.0241,1.02489,1925,1,0
2025-01-14 04:00:00,1.0249,1.02501,1.02385,1.02446,1317,3,0
2025-01-14 05:00:00,1.02444,1.0255,1.02437,1.02484,1080,1,0
2025-01-14 06:00:00,1.02484,1.02548,1.02451,1.02501,817,4,0
2025-01-14 07:00:00,1.025,1.02516,1.02422,1.02447,1200,4,0
2025-01-14 08:00:00,1.02447,1.02531,1.02447,1.02524,1503,4,0
2025-01-14 09:00:00,1.02527,1.02659,1.02499,1.02542,2785,4,0
2025-01-14 10:00:00,1.02549,1.02747,1.02529,1.02615,2970,4,0
2025-01-14 11:00:00,1.02614,1.02664,1.02535,1.02595,2575,3,0
2025-01-14 12:00:00,1.0259,1.02634,1.02519,1.02599,2157,4,0
2025-01-14 13:00:00,1.02599,1.0263,1.02523,1.02538,1794,4,0
2025-01-14 14:00:00,1.02535,1.02551,1.02394,1.02476,2214,3,0
2025-01-14 15:00:00,1.02478,1.02732,1.02406,1.02529,3805,3,0
2025-01-14 16:00:00,1.02533,1.02744,1.02434,1.0268,3683,3,0
2025-01-14 17:00:00,1.0268,1.02956,1.0263,1.02948,3670,4,0
2025-01-14 18:00:00,1.02947,1.0304,1.02828,1.02913,3244,3,0
2025-01-14 19:00:00,1.02913,1.02913,1.02789,1.02881,2055,3,0
2025-01-14 20:00:00,1.02882,1.03003,1.02867,1.02991,1411,4,0
2025-01-14 21:00:00,1.02991,1.03054,1.02963,1.0298,1216,0,0
2025-01-14 22:00:00,1.0298,1.03084,1.02965,1.03017,1369,4,0
2025-01-14 23:00:00,1.03018,1.03083,1.03006,1.03064,676,0,0
2025-01-15 00:00:00,1.03064,1.03073,1.03002,1.03065,255,10,0
2025-01-15 01:00:00,1.03057,1.0308,1.03021,1.0306,551,4,0
2025-01-15 02:00:00,1.0306,1.0306,1.02996,1.03011,1005,4,0
2025-01-15 03:00:00,1.03009,1.03047,1.02978,1.02999,1162,4,0
2025-01-15 04:00:00,1.03,1.03013,1.02952,1.0297,1050,4,0
2025-01-15 05:00:00,1.02971,1.03021,1.02963,1.03018,723,2,0
2025-01-15 06:00:00,1.03017,1.03025,1.02973,1.03023,696,1,0
2025-01-15 07:00:00,1.03022,1.0305,1.02926,1.02931,1117,4,0
2025-01-15 08:00:00,1.02931,1.02985,1.02917,1.0296,1083,0,0
2025-01-15 09:00:00,1.02974,1.03081,1.02866,1.03057,2705,3,0
2025-01-15 10:00:00,1.03051,1.0317,1.02941,1.02964,2465,3,0
2025-01-15 11:00:00,1.02963,1.0313,1.0296,1.03097,2181,3,0
2025-01-15 12:00:00,1.03096,1.0314,1.03007,1.03073,1727,3,0
2025-01-15 13:00:00,1.03074,1.03121,1.02995,1.0301,1747,4,0
2025-01-15 14:00:00,1.0301,1.03063,1.02934,1.02997,1971,4,0
2025-01-15 15:00:00,1.02995,1.03543,1.0296,1.0344,3944,3,0
2025-01-15 16:00:00,1.03444,1.03456,1.03251,1.03272,3895,4,0
2025-01-15 17:00:00,1.03265,1.03308,1.02988,1.0306,3550,3,0
2025-01-15 18:00:00,1.03058,1.03077,1.02579,1.0281,3221,3,0
2025-01-15 19:00:00,1.0281,1.02932,1.02808,1.02855,2024,3,0
2025-01-15 20:00:00,1.02859,1.0293,1.02844,1.02921,1453,4,0
2025-01-15 21:00:00,1.02921,1.02944,1.0289,1.02932,1164,0,0
2025-01-15 22:00:00,1.02931,1.02987,1.02902,1.02958,1229,4,0
2025-01-15 23:00:00,1.02959,1.02961,1.02865,1.02875,685,2,0
2025-01-16 00:00:00,1.02854,1.02928,1.02809,1.02916,421,4,0
2025-01-16 01:00:00,1.02919,1.02955,1.02905,1.02951,649,4,0
2025-01-16 02:00:00,1.0295,1.02997,1.02848,1.02988,1348,2,0
2025-01-16 03:00:00,1.02989,1.02995,1.02875,1.02889,1777,4,0
2025-01-16 04:00:00,1.02894,1.02928,1.02847,1.02868,1450,0,0
2025-01-16 05:00:00,1.02868,1.02889,1.02845,1.02888,904,0,0
2025-01-16 06:00:00,1.02888,1.02937,1.02854,1.02869,803,0,0
2025-01-16 07:00:00,1.0287,1.0287,1.02807,1.02822,1014,4,0
2025-01-16 08:00:00,1.02823,1.02895,1.02821,1.02887,1239,4,0
2025-01-16 09:00:00,1.02885,1.03013,1.02857,1.02974,2047,4,0
2025-01-16 10:00:00,1.02979,1.02999,1.02879,1.02959,2259,4,0
2025-01-16 11:00:00,1.02958,1.02988,1.02815,1.0286,2121,3,0
2025-01-16 12:00:00,1.0286,1.0296,1.02826,1.02853,1648,4,0
2025-01-16 13:00:00,1.02855,1.02918,1.02839,1.02901,1633,3,0
2025-01-16 14:00:00,1.029,1.029,1.0264,1.02716,2214,4,0
2025-01-16 15:00:00,1.02716,1.0285,1.02599,1.02815,3336,3,0
2025-01-16 16:00:00,1.02807,1.02837,1.02677,1.02791,2910,4,0
2025-01-16 17:00:00,1.02791,1.03056,1.02741,1.03008,4060,3,0
2025-01-16 18:00:00,1.03009,1.03114,1.02861,1.03022,3456,4,0
2025-01-16 19:00:00,1.03024,1.0315,1.02941,1.02963,2485,4,0
2025-01-16 20:00:00,1.02961,1.03026,1.02934,1.03001,1557,4,0
2025-01-16 21:00:00,1.02998,1.03076,1.02975,1.03017,1594,4,0
